Day,Link
Monday_class1,https://us02web.zoom.us/j/86754972373?pwd=L0xLaGZMNy9RTEFHeDlIWUlWblFDQT09
Monday_class2,https://meet.google.com/gzw-vfhk-izj
Monday_class3,https://meet.google.com/hoa-pnvy-jjt
Monday_class4,https://us04web.zoom.us/j/72130449164?pwd=OXZKbVRVNHVDbWc0bEdYeEdnYWRBUT09
Monday_class5,https://meet.google.com/crv-abgj-nvn
Tuesday_class1,https://us04web.zoom.us/j/72130449164?pwd=OXZKbVRVNHVDbWc0bEdYeEdnYWRBUT09
Tuesday_class2,https://us02web.zoom.us/j/86754972373?pwd=L0xLaGZMNy9RTEFHeDlIWUlWblFDQT09
Tuesday_class3,https://meet.google.com/gzw-vfhk-izj
Tuesday_class4,https://meet.google.com/hoa-pnvy-jjt
Tuesday_class5,https://meet.google.com/hoa-pnvy-jjt
Wednesday_class1,https://meet.google.com/aao-entt-yaw
Wednesday_class2,https://meet.google.com/hoa-pnvy-jjt
Wednesday_class3,https://us04web.zoom.us/j/72130449164?pwd=OXZKbVRVNHVDbWc0bEdYeEdnYWRBUT09
Wednesday_class4,https://us02web.zoom.us/j/86754972373?pwd=L0xLaGZMNy9RTEFHeDlIWUlWblFDQT09
Wednesday_class5,https://meet.google.com/gzw-vfhk-izj
Thursday_class1,https://us04web.zoom.us/j/72130449164?pwd=OXZKbVRVNHVDbWc0bEdYeEdnYWRBUT09
Thursday_class2,https://meet.google.com/cxe-bfzt-teo
Thursday_class3,https://us02web.zoom.us/j/86754972373?pwd=L0xLaGZMNy9RTEFHeDlIWUlWblFDQT09
Friday_class1,https://meet.google.com/hoa-pnvy-jjt
Friday_class2,https://meet.google.com/gzw-vfhk-izj
Friday_class3,https://meet.google.com/rac-vgic-ixr
Friday_class4,https://us02web.zoom.us/j/86754972373?pwd=L0xLaGZMNy9RTEFHeDlIWUlWblFDQT09
Friday_class5,https://meet.google.com/rac-vgic-ixr
